tileswide 25
tileshigh 19
tilewidth 32
tileheight 32

layer 0
33,34,34,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,
33,34,34,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,
39,40,40,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,
7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,
7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,
7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,
7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,
7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,
7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,
7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,
7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,
7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,
7,7,7,7,7,7,7,7,7,7,7,7,6,15,15,15,8,7,7,7,7,7,7,7,7,
7,7,7,7,7,7,7,7,7,7,7,7,6,15,15,15,8,7,7,7,7,7,7,7,7,
1,1,1,1,1,1,1,1,1,1,1,1,10,15,15,15,8,7,7,7,7,7,7,7,7,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,8,7,7,7,7,7,7,7,7,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,8,7,7,7,7,7,7,7,7,
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,8,7,7,7,7,7,7,7,7,
13,13,13,13,13,13,13,13,13,13,13,13,4,15,15,15,8,7,7,7,7,7,7,7,7,

